anger,joy,disgust,fear,surprise,sadness,neutral
0.016065549105405807,0.005076129455119371,0.008557198569178581,0.007774536032229662,0.2842116951942444,0.004974148701876402,0.6733407378196716
0.00975447054952383,0.003472414333373308,0.008691245689988136,0.002610156312584877,0.047982171177864075,0.004092286806553602,0.9233973622322083
0.01678651012480259,0.014818613417446613,0.005565369967371225,0.004254155792295933,0.0670929104089737,0.02469342015683651,0.8667889833450317
0.027620887383818626,0.006538380868732929,0.0501396544277668,0.041221246123313904,0.025803210213780403,0.1770174652338028,0.6716591715812683
0.017974266782402992,0.13356660306453705,0.003880250733345747,0.011815105564892292,0.36127549409866333,0.10847323387861252,0.3630150556564331
0.3334425389766693,0.006819230038672686,0.00742349261417985,0.003966968040913343,0.2915169596672058,0.3404634892940521,0.016367334872484207
0.00969162117689848,0.006789693608880043,0.025300325825810432,0.004468313883990049,0.014361160807311535,0.030648119747638702,0.908740758895874
0.1458674520254135,0.014242508448660374,0.053003232926130295,0.01819216087460518,0.010362899862229824,0.02145763672888279,0.7368741035461426
0.02020571380853653,0.012124028988182545,0.007105011492967606,0.012347049079835415,0.026921607553958893,0.051371872425079346,0.8699246644973755
0.5143704414367676,0.2632274627685547,0.014710911549627781,0.013475148938596249,0.03460589051246643,0.01023534219712019,0.1493748277425766
0.003160395659506321,0.03297113627195358,0.002292804652824998,0.0032385606318712234,0.04438662901520729,0.8639448285102844,0.05000568553805351
0.007656523492187262,0.018819447606801987,0.0015112546971067786,0.0017903310945257545,0.021783534437417984,0.0027031218633055687,0.9457358717918396
0.01822146773338318,0.030581271275877953,0.006316890940070152,0.019076813012361526,0.016915157437324524,0.0155754704028368,0.8933128714561462
0.08680624514818192,0.006347536575049162,0.09050503373146057,0.013684917241334915,0.2788708209991455,0.2735368311405182,0.2502485513687134
0.025638854131102562,0.0021928059868514538,0.05722850561141968,0.01176516804844141,0.7417212724685669,0.0346924290060997,0.12676094472408295
0.005885041784495115,0.006447975989431143,0.0013188266893848777,0.008246304467320442,0.702552080154419,0.011886591091752052,0.2636631429195404
0.0369328111410141,0.005048619117587805,0.0047076549381017685,0.026776783168315887,0.7692060470581055,0.033937081694602966,0.12339100241661072
0.005676122847944498,0.07102059572935104,0.012075818143785,0.021132007241249084,0.23376962542533875,0.013241671025753021,0.6430841684341431
0.007876982912421227,0.08308105915784836,0.0019121093209832907,0.005061801988631487,0.610794723033905,0.009324869140982628,0.281948447227478
0.013125617988407612,0.5022345185279846,0.004755529575049877,0.018871920183300972,0.027848919853568077,0.0387745127081871,0.39438897371292114
0.7513487935066223,0.005746116396039724,0.024731121957302094,0.017698025330901146,0.06691907346248627,0.04219828546047211,0.09135857224464417
0.0597880594432354,0.0043030367232859135,0.028812186792492867,0.012437429279088974,0.6304157972335815,0.04210594296455383,0.22213755548000336
0.03397044911980629,0.00649556377902627,0.01357140764594078,0.010051733814179897,0.5431725978851318,0.0049268947914242744,0.3878113925457001
0.02848021686077118,0.0022078698966652155,0.02425137162208557,0.014376730658113956,0.1602407842874527,0.1898563802242279,0.5805866718292236
0.021302910521626472,0.010515188798308372,0.009593193419277668,0.019846946001052856,0.027359124273061752,0.08249346166849136,0.8288890719413757
0.006537124048918486,0.7101417779922485,0.0019253644859418273,0.005790411494672298,0.05456354096531868,0.011857008561491966,0.20918476581573486
0.012299356050789356,0.03685171529650688,0.009180131368339062,0.009143512696027756,0.13132327795028687,0.005705011077225208,0.7954970002174377
0.02022739313542843,0.1989762783050537,0.006500374525785446,0.0036524978931993246,0.3657176196575165,0.02665773779153824,0.37826812267303467
0.22302503883838654,0.008327954448759556,0.13311374187469482,0.006407235749065876,0.04736980050802231,0.5132495164871216,0.06850671023130417
0.009754695929586887,0.028422895818948746,0.003685186617076397,0.02722305990755558,0.13160604238510132,0.010826119221746922,0.7884820103645325
0.013803084380924702,0.0073807621374726295,0.0005080794217064977,0.9254747033119202,0.02059040777385235,0.02462211810052395,0.007620830554515123
0.00688665546476841,0.7201937437057495,0.0013514177408069372,0.0012780623510479927,0.13140736520290375,0.007320012431591749,0.13156278431415558
